,layer_id,name,D,M,N,alpha,alpha_weighted,best_fit,bulk_mean_loc_ratio,bulk_mean_part_ratio,bulk_mean_vec_entropy,bulk_var_loc_ratio,bulk_var_part_ratio,bulk_var_vec_entropy,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,tail_mean_loc_ratio,tail_mean_part_ratio,tail_mean_vec_entropy,tail_var_loc_ratio,tail_var_part_ratio,tail_var_vec_entropy,warning,xmax,xmin
0,3,,0.13743251973851156,9.0,32.0,2.291920804484501,2.283964011853205,truncated_power_law,3.8767743844269793,1.3918398032450332,2.14278751427113,0.7658114330243962,0.010429093248347482,0.006915887370087114,0.7834746336419565,1.0,9.920380500561112,LAYER_TYPE.CONV2D,2.8629474560873254,1.9768724554711656,0.9965283300296733,81.0,94.81399706418776,81.0,29.0,0.0,9.0,0.23990367068671833,9.920380500561112,9.55749601124926,3.149663553549984,3.8478424672353655,1.3847100639325918,2.14942132617158,0.4192682660844136,0.006057077203041741,0.005078113493320232,,9.920380500561112,1.0022162923006257
1,4,,0.11802689553117396,32.0,32.0,3.2216979139729935,4.705482689607588,truncated_power_law,10.884566493145195,1.8313613959359771,3.220964033435324,4.610250662128619,0.014743972693900417,0.009248235360471124,0.789348654536285,1.0,28.877518515992833,LAYER_TYPE.CONV2D,5.117502341454775,2.6843616809932747,1.460559870991999,256.0,483.4612615816191,288.0,23.0,32.0,9.0,0.4632560387439041,28.877518515992833,16.741786913368976,5.373780653877941,9.464720504453775,1.7352698635166484,3.2128045909090113,4.747469052317338,0.02350568618501814,0.014492912097904842,,28.877518515992833,6.524205537032863
2,5,,0.11214481162937096,32.0,32.0,3.199258932405739,5.042136656789812,truncated_power_law,9.187846630340593,1.71306945752563,3.148277558412588,6.648662155024671,0.03983973921887249,0.03161798619729969,0.8488398611057102,1.0,37.673215390537415,LAYER_TYPE.CONV2D,5.631721236671614,2.9852523851546913,1.5760326886071359,288.0,966.6124513101872,288.0,36.0,0.0,9.0,0.36654315540095656,37.673215390537415,25.657816602322097,6.137851040106579,8.953273199770841,1.7140759239607306,3.1640239712393172,4.014232334630794,0.025316072643261314,0.011500982789183831,,37.673215390537415,8.530594813257851
3,6,,0.10138917845955076,32.0,32.0,2.849658822376319,4.948087794535857,truncated_power_law,11.025678033498142,1.8413800264391424,3.23771651478256,4.026394659573465,0.011941948118561007,0.008217707642192753,0.8493483894449759,1.0,54.49780623074911,LAYER_TYPE.CONV2D,5.571594523599284,3.116323596394599,1.736379020422405,288.0,1307.1444894902081,288.0,51.0,0.0,9.0,0.25900404112202613,54.49780623074911,23.9852680299759,7.382262947819531,10.95826974004223,1.8326985911663898,3.2192346044943667,4.026508452647165,0.013030013061464913,0.01088573134095425,,54.49780623074911,8.329696850511585
4,7,,0.10088554338180422,50.0,39200.0,2.225293066149793,9.918206253730487,truncated_power_law,13.710424553817834,1.9165708731457531,3.459651638143136,10.419652550235973,0.03253950253003418,0.034185622623865465,0.8596234370182415,1.0,28644.004246922617,LAYER_TYPE.DENSE,10.224953670028903,5.273873857838087,4.457033729445349,50.0,187877.1042744784,50.0,25.0,0.0,1.0,0.2450586132299586,28644.004246922617,6.559037718850466,169.24539653096215,15.041135659137797,1.982926755468202,3.481558107702274,7.710698249028166,0.017540273477515366,0.01762501536450053,,28644.004246922617,2206.2582086319258
5,10,,0.07142857142857151,50.0,1024.0,2.9777134978204187,8.072307394284895,lognormal,16.474696415463256,2.0523434760339114,3.520311928209673,13.176842600564788,0.01846064866373177,0.007484479993872195,0.8537453011356394,1.0,513.9347896259504,LAYER_TYPE.DENSE,8.092476397459434,3.3427006246875184,2.7109080172399187,50.0,2201.4084273233116,50.0,14.0,0.0,1.0,0.5285661655744499,513.9347896259504,4.283439206218225,22.670129898744523,16.318018040478755,2.076627483387975,3.5670892125570006,5.1265667731800075,0.006325563265183922,0.006516812030150273,,513.9347896259504,47.17632586372244
6,12,,0.04582674272311005,1024.0,1024.0,2.6831092949476134,8.125598460877027,lognormal,187.6469703230562,3.969433521119609,3.8870553275893687,1198.2597775429704,0.0605678709633383,0.0354006797366439,0.7613236857080661,1.0,1067.6433283784254,LAYER_TYPE.DENSE,8.14102417268051,3.802372054877865,3.0284261905311896,1024.0,6344.129725114569,1024.0,66.0,0.0,1.0,0.20717643259627522,1067.6433283784254,5.942180835570113,32.6748118338641,75.40453654127177,2.7923512878649417,2.895384543659142,430.6787628296325,0.0810393486042974,0.08096924802611759,,1067.6433283784254,18.93718741015138
7,14,,0.5,2.0,1024.0,2.386398315460044,1.685335852789974,truncated_power_law,1.0479698288796124,1.0011485658283135,0.6931471834212102,0.0,0.0,0.0,0.7038607364158999,1.0,5.0842361401734415,LAYER_TYPE.DENSE,1.6990079100918536,0.7983550804187147,0.7062257133990136,2.0,6.2857207111334095,2.0,2.0,0.0,1.0,0.9803316502874034,5.0842361401734415,1.2363156505391941,2.2548250797286786,1.0479698288796124,1.0011485658283135,0.6931471831682138,0.0,0.0,0.0,,5.0842361401734415,1.2014845709599682
