,layer_id,name,D,M,N,alpha,alpha_weighted,best_fit,bulk_mean_loc_ratio,bulk_mean_part_ratio,bulk_mean_vec_entropy,bulk_var_loc_ratio,bulk_var_part_ratio,bulk_var_vec_entropy,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,max_rand_eval,norm,num_evals,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,tail_mean_loc_ratio,tail_mean_part_ratio,tail_mean_vec_entropy,tail_var_loc_ratio,tail_var_part_ratio,tail_var_vec_entropy,warning,xmax,xmin
0,3,,0.09391727156458254,9.0,32.0,1.9664041131438388,2.710466199742663,truncated_power_law,3.9319765766998263,1.3950152305474783,2.149247179414243,0.713939851548964,0.009151736898320578,0.006644066078546096,0.5756479566867316,1.0,23.89940944029031,LAYER_TYPE.CONV2D,2.8837984836623884,1.846128396671765,1.3783871695677223,81.0,15.266559203603173,70.16627103128337,81.0,21.0,1.0744304576782941,0.47683049792684395,0.044913745580551626,0.19650879281523978,0.03123365858459473,82.0,0.48481406100356383,0.0,9.0,0.21088666668563377,23.89940944029031,2.935899784745102,4.888702224546951,3.6826453236905308,1.3590963335128574,2.1587164032089827,0.5529273588388494,0.011375995274763238,0.00444863902440863,over-trained,23.89940944029031,0.5209475776809344
1,4,,0.09619701888940058,32.0,32.0,2.4979491658537887,4.549879557470857,truncated_power_law,8.946519147098412,1.7003934270194614,3.147841217867771,5.311381351393241,0.029540102782184042,0.018145646997194943,0.6425326616577585,1.0,66.28969433401708,LAYER_TYPE.CONV2D,4.748528061639092,2.5880535475614783,1.8214460164627597,280.0,30.257629219811232,387.3053958875195,288.0,16.0,0.8623220077713374,5.429577327889536,0.0,0.20810242435713003,0.1794449025878905,77.0,1.0046678060631549,8.0,9.0,0.37448729146344717,66.28969433401708,5.842618521304158,8.141848336466179,7.248518808197239,1.5658334205781306,2.9726359037917724,6.345637971909588,0.04526351797782732,0.05665523674316939,,66.28969433401708,6.637804936234971
2,5,,0.08733524208834109,32.0,32.0,2.1287741224700265,4.358770204009717,lognormal,8.534528727624494,1.6740595033437404,3.110450838285291,5.259305556408575,0.026978839875169573,0.021190656768343013,0.7167197170407742,1.0,111.57050853761521,LAYER_TYPE.CONV2D,4.464115372529591,2.7648091035710802,2.047549412594426,288.0,31.59069857674694,581.8474074584263,288.0,60.0,0.7035446941184244,8.13030826326121,0.0,0.21818225875161795,0.2573639909706115,49.0,1.0030329560124402,0.0,9.0,0.14572411259854345,111.57050853761521,5.2150645818940635,10.562694189344649,8.52686910972928,1.6929648691418278,3.066346203052034,3.0376850688696297,0.012084706339104715,0.014640412550563517,,111.57050853761521,2.2214544160643905
3,6,,0.12384995177657798,32.0,32.0,1.9854834121046394,3.0887312712707544,truncated_power_law,8.342388445751105,1.6587481015891146,3.0958087619647667,5.1740295041425135,0.028929645293297567,0.026601911079099302,0.7640718261362416,1.0,35.946536496395375,LAYER_TYPE.CONV2D,3.957693320771962,2.826889831158177,1.5556570517991168,288.0,18.814129162620727,671.2585510667313,288.0,74.0,0.6550151248020383,9.604989570070595,0.0,0.2492279070390428,0.5105200186014169,35.0,1.0150087389855327,0.0,9.0,0.1145601196783665,35.946536496395375,18.673803278211334,5.995543052667988,8.233767852961297,1.6753044934335488,3.0384231155981096,2.6008262546452166,0.01489487259083811,0.022767685936045577,over-trained,35.946536496395375,2.063484432570601
4,7,,0.15106109792584793,50.0,39200.0,2.8503724997420203,11.472768792977186,truncated_power_law,16.258192733929306,2.0549058499589927,3.5389979198599364,6.255328105923072,0.014497205357582381,0.007707139714073839,0.885378240966551,1.0,10592.703953548735,LAYER_TYPE.DENSE,11.888686678180107,5.002203565755122,4.025006834726183,50.0,2161.31990834807,100508.67916763196,50.0,14.0,0.0223040237716916,2159.684453270352,1872.0689256053347,0.3160935040518419,0.9992433072626589,0.0,1.0007795070247278,0.0,1.0,0.49453285228164956,10592.703953548735,9.488481846408995,102.92086257678146,16.684421398194466,2.0674182145986904,3.521665125297492,8.301501212791024,0.007681900342151186,0.004679269104164674,,10592.703953548735,2449.724249593487
5,10,,0.08742439725320028,50.0,1024.0,3.5638819110763484,9.227028710251552,lognormal,15.884178224737772,2.0158754545075657,3.500132034937191,18.998800662963024,0.045164798620229867,0.018709577582509657,0.8449771605067807,1.0,388.18508610612616,LAYER_TYPE.DENSE,9.228792151990199,3.15375072768021,2.5890388459770386,50.0,43.484737404033496,1424.7895713572213,50.0,17.0,0.1873309943381877,42.54450715368821,17.31969692946145,0.27483311224052326,0.9783779250726699,0.0,1.0007511193032606,0.0,1.0,0.62183270182225,388.18508610612616,3.670387200212265,19.702413205141298,16.31066830291971,2.062513735175714,3.54889098042122,3.827991071319362,0.006915081787566025,0.004122272431979643,,388.18508610612616,26.940752435480793
6,12,,0.0585058578407619,1024.0,1024.0,2.648457144915171,8.343248434882344,lognormal,195.96265933280077,4.040953654352928,3.9323788195648937,712.0780770168076,0.022753418589060152,0.013933724947424335,0.7496580325373465,1.0,1413.2849342839802,LAYER_TYPE.DENSE,8.365741165016948,3.9407628665104255,3.1502297293730894,1024.0,212.92469884635477,8724.948386374814,1024.0,96.0,0.342585158946381,34.45497078661512,0.0,0.3115170320979016,0.16181763305664051,1.0,1.0054592929077368,0.0,1.0,0.16824495282863977,1413.2849342839802,6.173523947451671,37.59368210596004,117.95952980477605,3.3815821333346543,3.402226122347057,543.5517166418338,0.055016035600978744,0.04363011611815123,,1413.2849342839802,21.253206054570153
7,14,,0.47792353495804174,4.0,1024.0,1.6419283365904156,2.563366157434577,truncated_power_law,,,,,,,0.6515944061992871,1.0,36.4076352266204,LAYER_TYPE.DENSE,2.8032016159686357,1.845985776105004,1.5611924712607097,4.0,22.264737930949728,70.1432324922638,4.0,4.0,0.2388015314423067,17.937922692013323,13.965510746377152,0.3484587458210211,0.8056651170853535,4.0,0.9519063915312054,0.0,1.0,0.3209641682952078,36.4076352266204,1.9266077583906558,6.033873981665543,1.8534485907107752,1.1757837607260189,1.2130075688512474,0.010093131029922587,0.00014754208709136176,0.030028313381210186,over-trained,36.4076352266204,1.683412235098512
