,layer_id,name,D,M,N,alpha,alpha_weighted,best_fit,bulk_mean_loc_ratio,bulk_mean_part_ratio,bulk_mean_vec_entropy,bulk_var_loc_ratio,bulk_var_part_ratio,bulk_var_vec_entropy,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,max_rand_eval,norm,num_evals,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,tail_mean_loc_ratio,tail_mean_part_ratio,tail_mean_vec_entropy,tail_var_loc_ratio,tail_var_part_ratio,tail_var_vec_entropy,warning,xmax,xmin
0,3,,0.1010389282273616,9.0,32.0,2.1642145842808125,2.6449142222100956,truncated_power_law,4.115857811218772,1.4179619995233983,2.145763198632757,0.50186780122571,0.008212231079752268,0.007436223841758708,0.6843715471474147,1.0,16.676800870064348,LAYER_TYPE.CONV2D,2.833338473587151,1.8506920082125662,1.2221127430804297,81.0,9.944411619139474,70.90747299114881,81.0,24.0,1.068800148156255,0.9394882202551853,0.08849252529761721,0.20560791667088757,0.09447398762607562,64.0,0.6769507261331904,0.0,9.0,0.23764430688286936,16.676800870064348,4.251863024786193,4.0837238973839,4.264441864900329,1.4204008624903732,2.157042134066695,1.1231308002616964,0.013899316828711206,0.004574781925648521,,16.676800870064348,0.7473729014477632
1,4,,0.09604118061482325,32.0,32.0,1.9682525285577945,2.9367310868506378,truncated_power_law,10.209040193880728,1.791698886873057,3.216327676168934,4.426299080564705,0.017937293445580427,0.009566534641414663,,1.0,31.049166769727613,LAYER_TYPE.CONV2D,3.3761272392003425,2.3804151355534073,1.492049950014534,272.0,14.522418984951067,240.11270235480973,288.0,65.0,1.095187998803407,3.325085726237116,0.0,0.2030118086618558,0.22896225000000026,61.0,0.9985276693716958,16.0,9.0,0.12009694539499603,31.049166769727613,7.733305828641925,5.572177919783934,10.12990085500336,1.7818587779007786,3.210733347449656,4.73353911579819,0.020134878016442002,0.0096315841440905,over-trained,31.049166769727613,0.7048126084883816
2,5,,0.1082309975949527,32.0,32.0,2.6007670691389055,4.294163383557374,lognormal,9.136593105839241,1.7150018447025388,3.158626764973202,6.405407385570709,0.034551789600756486,0.02887710433373094,0.8210193108876048,1.0,44.78310263235269,LAYER_TYPE.CONV2D,4.585077393826332,2.795434875905964,1.6511141787792396,288.0,18.229876912844045,624.3597181680308,288.0,52.0,0.6791704875025734,8.850829027347784,0.0,0.14887330414378722,0.485512275791168,26.0,1.0102777445764377,0.0,9.0,0.22198645184055896,44.78310263235269,13.941859350249086,6.69201782964994,9.263491940354905,1.736261209666594,3.131676713768463,3.167204507492044,0.013673051375334097,0.010044570328627881,,44.78310263235269,3.839216603036544
3,6,,0.08800550056429746,32.0,32.0,2.34934412849863,3.573691612848581,truncated_power_law,10.43337193339231,1.787954967918855,3.2100109031807706,6.980979078599209,0.03495278160985696,0.01505833366385771,0.8309377354268451,1.0,33.20048116948341,LAYER_TYPE.CONV2D,4.355514941577999,2.883442002874873,1.5211443779129887,288.0,19.195698421854864,764.6135725887876,288.0,80.0,0.6137270178097631,10.867286280386738,0.0,0.12959338904692574,0.566131330132485,45.0,1.0115929657640201,0.0,9.0,0.15086125981815737,33.20048116948341,23.03019551691289,5.761985870295363,10.863071149866155,1.8347543356585276,3.217148170721751,2.810686149105152,0.00802913201511134,0.009442991257434441,,33.20048116948341,2.9251102090604513
4,7,,0.14470054084370376,50.0,39200.0,2.9022691258927837,12.524890889826436,truncated_power_law,15.492254174312095,2.0190610292888453,3.507844954583525,9.357024420662796,0.01603583431846127,0.009544698277967764,0.8878823655252451,1.0,20680.029738381247,LAYER_TYPE.DENSE,12.801679219034538,5.231569292164506,4.315551158948288,50.0,3676.2937869814473,170439.12351277337,50.0,12.0,0.017127751609097974,3663.9406692886428,3175.9961330694646,0.30734981090192426,0.9966397903952753,0.0,1.0010012176267566,0.0,1.0,0.5491377959526564,20680.029738381247,8.241725261953839,143.80552749592502,16.075100789297444,2.042959159061009,3.548037653138694,3.42929229493992,0.007953385399085787,0.004954213882065838,,20680.029738381247,4554.614556479637
5,10,,0.07142857142857151,50.0,1024.0,3.904701922821537,10.004949019149947,lognormal,16.984307882392976,2.0752790896653255,3.54778427807013,11.555402608403286,0.01492002925479461,0.006127850233937652,0.9264200396822209,1.0,364.99120640960086,LAYER_TYPE.DENSE,10.024148603236531,3.408420777796273,2.5622824012954033,50.0,76.94729665326214,2561.066042396612,50.0,14.0,0.13972515924998474,76.33235069180458,31.074591488852462,0.18160314796961052,0.9920082187652594,0.0,0.9998241656273567,0.0,1.0,0.7763142432786911,364.99120640960086,7.016788342901964,19.104743034377638,16.47369485309144,2.068026152191014,3.547478095869025,10.525890573613822,0.02271937587701842,0.005151181986325423,,364.99120640960086,61.565262588057266
6,12,,0.03459095594689798,1024.0,1024.0,2.8982416631321497,10.068974752534835,lognormal,167.95316096926828,3.8329993969432086,3.7943681346167706,549.0365910758023,0.020808643629791256,0.01639887913892494,0.7735792730385178,1.0,2979.660109884437,LAYER_TYPE.DENSE,10.076097681509367,4.306628080404229,3.4741667268882006,1024.0,1063.1435788833294,20259.470029758497,1024.0,85.0,0.22482051489325533,79.51417398498785,0.0,0.2511116835247615,0.07479156678771967,1.0,1.0023703650633609,0.0,1.0,0.20589321651685227,2979.660109884437,6.799255379011749,54.5862630144658,114.61216290187333,3.3425604291070186,3.3215162130726084,863.6852140891126,0.06895941874311723,0.05502682982075269,,2979.660109884437,57.50849575155978
7,14,,0.23879682958099552,12.0,1024.0,6.316241631313719,12.682726171054773,truncated_power_law,3.044279294641573,1.278807753262638,1.9001090734228887,1.2913347363650876,0.017941567461257024,0.04278476127623881,0.7917979339923001,1.0,101.84848135336138,LAYER_TYPE.DENSE,12.834171688517943,2.6551216178917105,2.007954557687953,12.0,50.49112928239361,451.98249781924267,12.0,5.0,0.1629407886757956,45.410405248389665,29.400895057237342,0.34170859081709093,0.8993739275351165,0.0,0.9907601233183349,0.0,1.0,2.37749553448637,101.84848135336138,4.437793198418913,10.092000859758256,2.975133511206477,1.286186105875408,1.9488812737271592,0.40831234473934586,0.011585279842670231,0.010507875207775562,under-trained,101.84848135336138,61.52062791771896
