,layer_id,name,D,M,N,alpha,alpha_weighted,best_fit,bulk_mean_loc_ratio,bulk_mean_part_ratio,bulk_mean_vec_entropy,bulk_var_loc_ratio,bulk_var_part_ratio,bulk_var_vec_entropy,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,max_rand_eval,norm,num_evals,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,tail_mean_loc_ratio,tail_mean_part_ratio,tail_mean_vec_entropy,tail_var_loc_ratio,tail_var_part_ratio,tail_var_vec_entropy,warning,xmax,xmin
0,3,,0.13156876560186345,9.0,32.0,1.4870742146746825,1.9261947291362693,truncated_power_law,4.47552097445042,1.4574962295184686,2.149547789607005,0.7196045153071484,0.008123233674270633,0.007330334880269248,0.5507396338869827,1.0,19.73747502469836,LAYER_TYPE.CONV2D,2.2585518070925397,1.8116721615584508,1.2952915934714464,81.0,14.959345003162385,64.8144979802643,81.0,40.0,1.1179089384775966,0.43486193597773465,0.040960631587299644,0.157671574744895,0.029069583988189686,81.0,0.48172258668258683,0.0,9.0,0.07701319539549029,19.73747502469836,3.2838292587658304,4.44268781535439,4.587520806324292,1.4529937673442916,2.1325409387175336,1.7500936537447052,0.01725449200732764,0.011881089491023898,over-trained,19.73747502469836,0.04717494640102043
1,4,,0.06664985458454853,32.0,32.0,2.180967297285476,4.187839059077466,lognormal,10.28200269892261,1.795464849503379,3.218573060825328,3.6570267734941875,0.013251944214840043,0.008645149520825823,0.6133701935695692,1.0,83.20991571015466,LAYER_TYPE.CONV2D,4.373805055014416,2.5661259203984668,1.9201750820793264,280.0,42.46620580391811,368.23572532776484,288.0,26.0,0.8843685376221617,5.042300377166908,0.0,0.20253758762783455,0.11873677626037607,62.0,0.9929277419344474,8.0,9.0,0.2316067420682144,83.20991571015466,4.425382746576038,9.121946925418644,7.688047828588619,1.5980098344166755,3.1523057751747503,5.0925640418217295,0.03782807380378693,0.014897045128112673,,83.20991571015466,2.836513573926295
2,5,,0.10650787877093781,32.0,32.0,2.255559739215378,4.472336794124908,truncated_power_law,8.24210112986093,1.651073323752717,3.090653315461057,5.327453048405868,0.03149432398629821,0.033657062012070506,0.7517301487804324,1.0,96.11822415877339,LAYER_TYPE.CONV2D,4.783991386298286,2.9293284643912907,1.9828057383577264,288.0,47.89279524857111,849.8229677783329,288.0,45.0,0.5821461259628817,11.933477050019873,0.0,0.19236371093282909,0.24917061090469364,41.0,1.005507969588471,0.0,9.0,0.18716779511316625,96.11822415877339,8.841434340011821,9.803990216170831,7.800186081243189,1.6329279301272583,3.040672993721044,3.213414430987415,0.01997670589171572,0.01593992655383441,,96.11822415877339,4.836799287292422
3,6,,0.08996318603940312,32.0,32.0,2.7141638415082987,4.54833286375065,truncated_power_law,9.780000616330728,1.7557561324429416,3.188252478701339,6.074342541941802,0.033506233619249946,0.018114897516719707,0.8219077656654377,1.0,47.399834422326144,LAYER_TYPE.CONV2D,5.082677445381459,2.9689497162049014,1.6757768245940075,288.0,35.47995972689381,931.000075508983,288.0,46.0,0.5561877070363163,13.21498883096081,0.0,0.14248082061892037,0.37246346762180366,28.0,1.0109386257889035,0.0,9.0,0.2527396699619766,47.399834422326144,19.64142041539423,6.884753766281416,9.778435228520072,1.749588579984085,3.195017060416817,5.95348472267427,0.02664545601927024,0.01330862101393,,47.399834422326144,6.5038037189982125
4,7,,0.10779359291986867,50.0,39200.0,2.7819815742934546,11.9684920983264,truncated_power_law,15.23356601332925,2.0111647816012734,3.5321162900592684,5.525583688747981,0.010991801033299047,0.007976241077697389,0.8897662538042305,1.0,20051.47984462527,LAYER_TYPE.DENSE,12.289259747326469,5.2290178172173265,4.302146430055369,50.0,3640.0599344202687,169440.73131980782,50.0,18.0,0.01717813824720621,3643.815603152037,3158.551218427865,0.3047514499058007,1.0010317601356655,0.0,1.0011849730829843,0.0,1.0,0.42001708504412716,20051.47984462527,8.450285596513007,141.60324800167993,16.835371813831394,2.069514777832371,3.541078804877627,10.311701486965022,0.015776229766955235,0.01058021266502861,,20051.47984462527,3355.0495767386565
5,10,,0.06680860637198935,50.0,1024.0,3.5371346997627118,9.335783179958298,lognormal,15.543788217101618,2.0192511373410458,3.5162452104775124,10.576909316814138,0.018504586494248614,0.008966190504944002,0.8977626919363699,1.0,435.8762497930262,LAYER_TYPE.DENSE,9.354721181357718,3.4001624002363067,2.639363205643423,50.0,75.04719343758705,2512.8259028763264,50.0,16.0,0.14105997484120225,75.24887150653038,30.633511491132886,0.22590072895768587,1.002687349915504,0.0,1.0021863779214455,0.0,1.0,0.6342836749406779,435.8762497930262,5.764998446392823,20.87764952749773,16.620750414413912,2.06945203420545,3.539061306065143,6.877633557987397,0.012953598265704119,0.010674929847334622,,435.8762497930262,55.729106213057364
6,12,,0.06125160770330773,1024.0,1024.0,3.402556291065332,11.639594199193215,lognormal,167.5316235308121,3.824379763648923,3.7826064523906267,651.1633700670028,0.026961225388308575,0.024743497027043256,0.7731068914549873,1.0,2635.348777255044,LAYER_TYPE.DENSE,11.640588425638049,4.251911641376752,3.4208381003886017,1024.0,869.6833334243016,17861.2414512287,1024.0,56.0,0.23943859620485375,70.1413197739597,0.0,0.25969630605638605,0.0806515625610352,1.0,1.0026540874373664,0.0,1.0,0.3210550890573144,2635.348777255044,6.777562653332289,51.33564821111197,102.54029864541026,3.2658144098785007,3.2035677924194355,823.2846188114522,0.06372938022335596,0.037625205486078186,,2635.348777255044,72.74409367750464
7,14,,0.46778631837445517,4.0,1024.0,1.5938054691234234,2.853294784635289,truncated_power_law,,,,,,,0.6358763514841929,1.0,61.69362682593295,LAYER_TYPE.DENSE,3.065994181232626,2.052931353715905,1.7902403021647126,4.0,33.80652995305967,112.96173488252985,4.0,4.0,0.188176037339812,31.72261634776449,24.6975386790554,0.34326924735225284,0.9383576602452636,0.0,0.9975160209125046,0.0,1.0,0.2969027345617117,61.69362682593295,1.8310114138896163,7.854529064554599,1.7446642290288703,1.1543968245687548,1.2130075688727902,0.027302624827888346,0.0009839390338536923,0.03002831339437488,over-trained,61.69362682593295,2.2592554009703
