,layer_id,name,D,M,N,alpha,alpha_weighted,best_fit,bulk_mean_loc_ratio,bulk_mean_part_ratio,bulk_mean_vec_entropy,bulk_var_loc_ratio,bulk_var_part_ratio,bulk_var_vec_entropy,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,max_rand_eval,norm,num_evals,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,tail_mean_loc_ratio,tail_mean_part_ratio,tail_mean_vec_entropy,tail_var_loc_ratio,tail_var_part_ratio,tail_var_vec_entropy,warning,xmax,xmin
0,3,,0.08968626846039263,9.0,32.0,2.1208103899801993,2.6907100086373683,truncated_power_law,3.8766358731179604,1.3879703658499118,2.1373550248983313,0.5506190515423988,0.00853110048252303,0.007912963834759751,0.6746955120419948,1.0,18.56597900081639,LAYER_TYPE.CONV2D,2.890650710185257,1.8782216035276293,1.2687178549056852,81.0,11.512072704440829,75.54776200819587,81.0,27.0,1.0354561399154207,0.9747949426240093,0.09181814551832675,0.18893721524801851,0.08467588484287267,55.0,0.6680411652607535,0.0,9.0,0.21570006012186582,18.56597900081639,4.069150460898069,4.308825710192557,4.5579431186929815,1.447778677696346,2.1616785701819974,1.5760425298018699,0.019000032371319118,0.0042117292398280515,,18.56597900081639,0.6620484937086784
1,4,,0.06457176687814103,32.0,32.0,2.1024562619919065,2.8633178133224315,truncated_power_law,8.778421897301849,1.6909932880893834,3.162799476618374,3.94033085877407,0.0199456408674699,0.013857914578527888,,1.0,23.0086818135104,LAYER_TYPE.CONV2D,3.298526003987143,2.2517424501605814,1.3618917382897995,272.0,16.11026099504719,178.54284474519417,288.0,55.0,1.2700622824499037,2.447021726218145,0.0,0.16210399808974785,0.15189212185764325,66.0,0.9933766234716834,16.0,9.0,0.14865517204133666,23.0086818135104,7.759803286095083,4.7967365795413865,7.605036234083816,1.599421851844234,3.0162940821605906,5.704502902072033,0.03538643121862581,0.036963184976927035,,23.0086818135104,0.6962593261459696
2,5,,0.0852460600697128,32.0,32.0,2.1833504592394304,3.5219057255757393,truncated_power_law,9.550489858149124,1.734839848105214,3.1786823739985257,6.530520339787147,0.03424635805241285,0.01739074193009449,0.7601025057369578,1.0,41.02739465562281,LAYER_TYPE.CONV2D,3.8749459623399733,2.622425240181253,1.613073939033404,288.0,18.17250797571632,419.20382837231773,288.0,59.0,0.8288646611706931,5.91232281421324,0.0,0.18809470895332933,0.32534435104465476,45.0,1.0077033386396659,0.0,9.0,0.15405910759703925,41.02739465562281,10.217656565595881,6.405263043437233,9.174972438697017,1.718230498600263,3.183324924330853,4.764770155594343,0.023619076425238077,0.008804175272526197,,41.02739465562281,1.8821443297297253
3,6,,0.11007997356405164,32.0,32.0,2.7585336281609782,4.472653174308641,truncated_power_law,10.7969347094443,1.8296906038207368,3.229837795907844,3.2700918309244984,0.010123094386395744,0.007401671794662743,0.8348852109586866,1.0,41.820377269596506,LAYER_TYPE.CONV2D,5.012764929861159,2.9398436080813077,1.6213879463526455,288.0,24.738844617225975,870.6500074670922,288.0,37.0,0.5751411478523218,12.344516075528245,0.0,0.11404404480554103,0.4989932337799074,41.0,1.0103724109987406,0.0,9.0,0.28910114761208056,41.820377269596506,20.81879849754623,6.466867655178704,10.33140728695922,1.803243612870396,3.2241043306903165,3.147124251525083,0.012842916012430788,0.006206666777335333,,41.820377269596506,6.915693414296736
4,7,,0.1466088308283725,50.0,39200.0,1.7629637543926853,7.639968956932898,truncated_power_law,13.73419970896148,1.936950194533412,3.4665628140904303,9.913922162014952,0.03217703436781058,0.019702045649115173,0.825344266474713,1.0,21557.27646670621,LAYER_TYPE.DENSE,8.249586467387985,5.224320974307499,4.333593891477793,50.0,3592.9015594001467,167618.12347169672,50.0,35.0,0.01727127960431541,3604.9069153344576,3124.8241870140546,0.3881997929979438,1.0033414096478377,0.0,1.0012247482651697,0.0,1.0,0.12896441264572417,21557.27646670621,7.775477747876539,146.8239642112493,14.683161011671825,1.9841863068568917,3.496566084211498,5.585016773570706,0.01191673455123162,0.009767773820745307,over-trained,21557.27646670621,758.2209534096967
5,10,,0.09090909090909105,50.0,1024.0,3.4756890499908675,9.06033141142796,lognormal,15.034896149509285,1.9838920187350908,3.478561126693882,15.189261686290752,0.02286112330248506,0.011173933971550557,0.8686164015759421,1.0,404.36422316970663,LAYER_TYPE.DENSE,9.076643845018571,3.304774843547582,2.6067727236565554,50.0,60.25516306403337,2017.3202292107858,50.0,11.0,0.1574336557941353,60.26104750096087,24.53202890794431,0.26332143582404,1.0000976586341863,0.0,1.0009459262501454,0.0,1.0,0.7464483342191928,404.36422316970663,4.988869226356214,20.108809591064972,16.4263181387914,2.0521092315009803,3.5225672378495134,6.446191362461191,0.011230928413508659,0.007061249825341613,,404.36422316970663,57.055705101848346
6,12,,0.03509859470378189,1024.0,1024.0,2.430135153578556,8.17285856679703,lognormal,171.72864045285368,3.8424737742396258,3.7958164473568146,1246.2099617391098,0.06964421762201888,0.0504007160054294,0.7041874293599882,1.0,2307.4336913296634,LAYER_TYPE.DENSE,8.212183883409821,4.099447612223931,3.3631292295664643,1024.0,452.2973396905366,12573.251774628961,1024.0,79.0,0.28538173385172044,49.69870125989038,0.0,0.3478325667161963,0.10988059601211539,9.0,1.005932168148099,0.0,1.0,0.16090277579802145,2307.4336913296634,5.449019758129474,48.03575430166225,83.24041586388536,2.9745112784736394,2.882856751390622,341.86491111040056,0.06102597261958418,0.08195214362328035,,2307.4336913296634,32.50716860120856
7,14,,0.25809920560228017,12.0,1024.0,3.7254801631974557,7.041509279242035,truncated_power_law,3.075012907310058,1.2858337539158275,2.1299199882500566,1.2043808256336521,0.01826107344880127,0.023035664412785067,0.784984757638406,1.0,77.64159041870249,LAYER_TYPE.DENSE,7.202715912606264,2.446891158804265,1.8900944229423953,12.0,37.27522771502083,279.82799377031085,12.0,5.0,0.20708328402940576,30.23865393939838,19.577968667784475,0.3229612170743961,0.8112265381872659,2.0,1.0275129087787451,0.0,1.0,1.2188717832473461,77.64159041870249,3.6040991981393677,8.811446556536701,1.9861401755155534,1.122056342167891,2.034135134466535,0.09491992417757593,0.003889333981866893,0.01615344720054786,,77.64159041870249,31.029539298279218
