,layer_id,name,D,M,N,alpha,alpha_weighted,best_fit,bulk_mean_loc_ratio,bulk_mean_part_ratio,bulk_mean_vec_entropy,bulk_var_loc_ratio,bulk_var_part_ratio,bulk_var_vec_entropy,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,max_rand_eval,norm,num_evals,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,tail_mean_loc_ratio,tail_mean_part_ratio,tail_mean_vec_entropy,tail_var_loc_ratio,tail_var_part_ratio,tail_var_vec_entropy,warning,xmax,xmin
0,3,,0.08571337921923561,9.0,32.0,1.9553350867568962,3.063633923085596,lognormal,4.1940700505463075,1.4274430727881215,2.1649273993817344,0.6418543891027323,0.008474276191336795,0.005462428766325918,0.45644272556302906,1.0,36.8814192398532,LAYER_TYPE.CONV2D,3.1361924148745626,1.8598497518225074,1.5668076248592846,81.0,19.8873177097921,72.41853781279006,81.0,19.0,1.0575907252517893,0.39575227218532216,0.03727680369258552,0.27657012886368654,0.01989973097229004,54.0,0.4347546397957996,0.0,9.0,0.2191689000206301,36.8814192398532,1.9635507338214437,6.073007429589824,4.743110305820084,1.4836281590414138,2.1485826719481627,0.8762212522974814,0.007258268285560437,0.005126409461112777,over-trained,36.8814192398532,0.407634761541572
1,4,,0.06710387890492775,32.0,32.0,2.142401200582918,3.2925100914412218,truncated_power_law,9.968430747511146,1.7727474212140968,3.214420206873792,4.090517658319192,0.016588718066679494,0.009396172966307934,,1.0,34.42165169234095,LAYER_TYPE.CONV2D,3.434124113238113,2.2482953773894447,1.5368317057259748,272.0,11.899196867528666,177.13132748093486,288.0,49.0,1.275112652686815,2.467472339407472,0.0,0.21417775463716116,0.20736461182022103,65.0,1.001485592745119,16.0,9.0,0.1632001715118454,34.42165169234095,5.145927599992181,5.8669968205497565,8.513414041636944,1.6470162611927126,3.1067672768704644,8.158743747080573,0.043632518576640515,0.028040321533368273,,34.42165169234095,0.7886951755023879
2,5,,0.08523119580187521,32.0,32.0,2.3912180029551435,3.5837325292231754,truncated_power_law,9.227330412632107,1.7190156541520882,3.1710197264865374,5.25101434330729,0.027642468299065394,0.01876997354215223,0.7764437336707466,1.0,31.528688082062235,LAYER_TYPE.CONV2D,3.9628532884860665,2.563286684692299,1.4987059000033809,288.0,10.419267700251721,365.83620621965923,288.0,49.0,0.8872640833442446,5.198123492687287,0.0,0.2231303700938837,0.49889528153324103,28.0,1.0114541538863606,0.0,9.0,0.19874542899359193,31.528688082062235,11.603280328933069,5.615041236007286,9.502295350261571,1.745389750382535,3.1613738208897257,3.1765387145454493,0.011821811632980928,0.009899771826405971,,31.528688082062235,2.0805932426330367
3,6,,0.10247341057957493,32.0,32.0,2.436037860448832,3.871122267256347,lognormal,9.72825104093297,1.7506494313420344,3.1842568581788937,6.261140656533752,0.032521929719772025,0.02048647993762592,0.8148609008352844,1.0,38.82450735012221,LAYER_TYPE.CONV2D,4.507104165416928,2.867936946357166,1.589105953609073,288.0,20.223501466072697,737.797104263378,288.0,50.0,0.6247809378678418,10.516650827756155,0.0,0.16083816446581556,0.5200212656249995,33.0,1.0130631130790562,0.0,9.0,0.20308642183279801,38.82450735012221,19.003386124384537,6.230931499392543,10.015846787891766,1.7921825600189905,3.1792167238352262,3.1417132442166245,0.012098970946815508,0.008180118006133025,,38.82450735012221,4.305549832061099
4,7,,0.1425576053430886,50.0,39200.0,2.1759545235814963,9.552400204862003,truncated_power_law,15.638142994798656,2.031980232621531,3.5182379111351403,7.427822892960765,0.01368850830100734,0.005508593383501716,0.8031337091546795,1.0,24546.046162891198,LAYER_TYPE.DENSE,9.99763944081911,5.210092843334479,4.38998154664524,50.0,3476.8154569200847,162215.6844461669,50.0,19.0,0.017556525858911935,3483.6094278589844,3019.6804671928644,0.4075107586997543,1.001954078674316,0.0,1.0004913600772323,0.0,1.0,0.26978247002585576,24546.046162891198,6.608627856791257,156.67177845065524,16.195571604187197,2.047948845173161,3.523509029841915,8.007172296727424,0.008978180068180689,0.008043234557979204,,24546.046162891198,2348.0279300103484
5,10,,0.09937177141334363,50.0,1024.0,3.044692684750353,7.656568503896207,lognormal,16.16352422727735,2.047380018895937,3.528774106378603,9.803201046017152,0.012107991568115262,0.008132853572471071,0.8419798447416772,1.0,327.13439824901155,LAYER_TYPE.DENSE,7.675875531084616,3.137460999057094,2.5147262126798196,50.0,41.17766475843008,1372.3377154439427,50.0,11.0,0.19087739645408136,41.11937718306762,16.739532277722116,0.2891528291873139,0.9985844856500626,0.0,1.0024724918765937,0.0,1.0,0.6164980406273962,327.13439824901155,4.195027251152392,18.0868570583452,15.649571492702094,2.019321409681848,3.483384095689231,12.060926741350618,0.032702570185250725,0.01664640255393177,,327.13439824901155,36.15400325489752
6,12,,0.01843476931843091,1024.0,1024.0,2.4657330462740434,8.002972579152495,lognormal,182.66889424735132,3.9471639559409386,3.873778897368643,745.6789996372612,0.027543566137064792,0.017504824308038867,0.7458710994427359,1.0,1760.6653385292927,LAYER_TYPE.DENSE,8.047218705848513,4.045742288362766,3.2456768145463863,1024.0,533.1647451489391,11110.722180648443,1024.0,88.0,0.3035839687100649,43.75978185776384,0.0,0.28609530157143936,0.08207553529357907,5.0,1.004121838672364,0.0,1.0,0.15624766772585857,1760.6653385292927,6.310524741703257,41.96028286998662,108.47148136846404,3.270533891316907,3.2926726419519343,491.2992096153868,0.06206668380654488,0.054093806916625346,,1760.6653385292927,25.356467723127388
7,14,,0.2758509547682102,12.0,1024.0,2.0477007688777165,4.620924391813139,truncated_power_law,3.712301958072892,1.3767367639856767,2.103449852574268,0.7401083509854731,0.009219556982202618,0.008966010011031872,0.7305029332918096,1.0,180.567861045777,LAYER_TYPE.DENSE,4.850481838164657,2.7042320117946,2.256640453549143,12.0,60.30594979480912,506.09495933768517,12.0,7.0,0.153983652579567,50.15172705482025,32.470656361963876,0.35300751007568776,0.8316215435701021,2.0,0.9839625727980676,0.0,1.0,0.39599366898022825,180.567861045777,2.802796446757386,13.437554131826856,3.0320270557931197,1.2536028798061187,2.0300748971277156,1.6803479199342262,0.028164149714496635,0.05109491453961177,,180.567861045777,20.182426524583033
