,layer_id,name,D,M,N,alpha,alpha_weighted,best_fit,bulk_mean_loc_ratio,bulk_mean_part_ratio,bulk_mean_vec_entropy,bulk_var_loc_ratio,bulk_var_part_ratio,bulk_var_vec_entropy,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,max_rand_eval,norm,num_evals,num_pl_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,tail_mean_loc_ratio,tail_mean_part_ratio,tail_mean_vec_entropy,tail_var_loc_ratio,tail_var_part_ratio,tail_var_vec_entropy,warning,xmax,xmin
0,3,,0.06807650378289778,9.0,32.0,1.9672123607185024,3.20707953372169,truncated_power_law,4.2660697493505655,1.430875684765452,2.1414601069839416,0.7087015293321467,0.008984281575494857,0.00808717172163215,0.6183277393407598,1.0,42.684092710156165,LAYER_TYPE.CONV2D,3.381459285869631,2.130729869037885,1.630266054525166,81.0,26.132903674765018,135.12318361931506,81.0,34.0,0.7742435123101399,1.3542253291047923,0.12755755379447864,0.1979150835412307,0.05182069876193998,63.0,0.5887594958020242,0.0,9.0,0.16587555139556903,42.684092710156165,3.165656689410295,6.533306414837449,3.831488721974061,1.3847895922646032,2.13654502845015,0.6352505385992169,0.010363256938931219,0.00566462757332019,over-trained,42.684092710156165,0.5803411501896752
1,4,,0.09665549043895494,32.0,32.0,1.8051325424349944,3.373168207364025,truncated_power_law,9.41507653625063,1.7276239294840299,3.1725050021404866,5.876489863972335,0.031295559698259284,0.01761288335121496,,1.0,73.90163281977911,LAYER_TYPE.CONV2D,3.8274390084919117,2.7515968187211244,1.8686540340211597,272.0,36.44177628006597,564.4127537432726,288.0,90.0,0.714328264360617,7.874593205769195,0.0,0.19501523865259104,0.21608697515869113,57.0,1.0022634724278539,16.0,9.0,0.08486842174722509,73.90163281977911,7.637351601143683,8.59660588952286,9.382398328938528,1.7387451891285066,3.1467764731304575,3.652918262032196,0.015581626411783123,0.012996721100227418,over-trained,73.90163281977911,0.8868783256505373
2,5,,0.09232607597488057,32.0,32.0,2.421326756805228,3.825706241327091,truncated_power_law,8.00135131923929,1.6377996705007047,3.043432038058969,4.911647752113251,0.026394583969410183,0.03196325412497633,0.7892979567362366,1.0,38.019299934078596,LAYER_TYPE.CONV2D,4.2096100411314765,2.6982901069359033,1.5800041157496827,288.0,13.99063355084228,499.21785158573465,288.0,54.0,0.7595409446946847,7.089919263822575,0.0,0.20551363105339193,0.5067618444910051,31.0,1.0112111265675012,0.0,9.0,0.193418072885427,38.019299934078596,13.130642922182288,6.165979235618508,7.84644838635317,1.656854043142314,2.992772688915115,2.573159500182555,0.016630714900748713,0.022292243981690534,,38.019299934078596,2.8351057849047323
3,6,,0.086362672249097,32.0,32.0,2.6378972358067827,4.021245808609605,truncated_power_law,10.851903473804155,1.8355340950989518,3.2231081085629922,3.214981130279604,0.010175348929107335,0.007007582945277438,0.8208640974673067,1.0,33.451328299588305,LAYER_TYPE.CONV2D,4.703694519787476,2.867153647927833,1.5244133675964577,288.0,18.795267832049667,736.4676043896945,288.0,49.0,0.625344622972486,10.47345478767191,0.0,0.15598010163486464,0.5572389221191405,34.0,1.01189256614963,0.0,9.0,0.23398531940096895,33.451328299588305,22.016094481927,5.783712328564441,10.865859144763462,1.8270596203647738,3.2163018227951907,4.1881388990904105,0.013566102549443711,0.009890859883348008,,33.451328299588305,4.754852655867118
4,7,,0.15367046892710584,50.0,39200.0,1.8403961841477758,7.911072260952633,truncated_power_law,16.029447851614055,2.0247180256875006,3.4435029632774827,21.884423630477897,0.046222110167425556,0.02656012213857729,0.874793399842157,1.0,19887.044096533828,LAYER_TYPE.DENSE,8.533622068475829,5.254442687633527,4.298570236721056,50.0,3865.8964159191805,179656.3978087958,50.0,41.0,0.016682596986203127,3861.898003041252,3347.5905400916436,0.32773135535910136,0.9989657216728666,0.0,1.0009769836931253,0.0,1.0,0.13124783355518788,19887.044096533828,9.03384117502453,141.02143133770068,15.832974837236426,2.0251693391491967,3.521964371887441,8.638220385599457,0.01485706812447809,0.009833091834580764,over-trained,19887.044096533828,876.4964037025235
5,10,,0.10123752138193615,50.0,1024.0,3.7231290779831787,9.70120922289227,lognormal,15.979528216636975,2.0282183888872103,3.505629060104628,21.48611685326863,0.022135383454312173,0.007634450582169627,0.9258705899019319,1.0,403.3296881503004,LAYER_TYPE.DENSE,9.748357421381044,3.4988781978912287,2.605660190580183,50.0,92.98863439317005,3154.1198957325396,50.0,13.0,0.12590584823020673,94.19191010466866,38.34514595096241,0.1871093669120426,1.0129400299224849,0.0,1.0008002447267859,0.0,1.0,0.7552601169519483,403.3296881503004,7.820202649097232,20.08306968942498,15.680922091020976,2.0253626435066527,3.537472649548432,8.711550698580028,0.014328259549022683,0.008510374722348267,,403.3296881503004,80.70581608610415
6,12,,0.026564114353063273,1024.0,1024.0,2.854424257224723,10.142336056150821,lognormal,152.48943220298148,3.7072869463758495,3.6980888745891747,489.409690774261,0.01936892593903695,0.02153153637842012,0.7607492423155203,1.0,3574.3619104462396,LAYER_TYPE.DENSE,10.157433522214307,4.381962223042636,3.553198523478052,1024.0,1312.4009696063276,24096.958130017378,1024.0,86.0,0.20614313041483187,94.79778851356971,0.0,0.26596600242112434,0.07223233654117582,5.0,1.0035475942249625,0.0,1.0,0.19996771035226832,3574.3619104462396,6.741611155712267,59.78596750447583,102.81648078072408,3.233800419841308,3.1451007839971656,647.1697946816707,0.06722823379050351,0.055080164402100174,,3574.3619104462396,67.82170497249028
7,14,,0.2500000000000001,12.0,1024.0,4.743774889076612,9.439276150116987,truncated_power_law,3.224821164564794,1.315817068649429,2.01094498804757,0.8918263844424877,0.010662643717380411,0.048114702892741085,0.7804413451792758,1.0,97.6840808760138,LAYER_TYPE.DENSE,9.56266237412434,2.5676601406730675,1.9898237945170218,12.0,52.63943325402106,369.5388820921176,12.0,4.0,0.18020239249659387,35.51064301174609,22.991309654528777,0.3193585447100887,0.6746015452024928,4.0,0.9689488163461635,0.0,1.0,1.8718874445383058,97.6840808760138,3.783000042362659,9.883525731034133,3.556604802336267,1.3703384124769757,2.0177126963964294,0.0789186330529227,0.0012324419208870833,0.019847021161634386,,97.6840808760138,50.72574925627283
